City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
316,la malbaie,47.6575,-70.1559,1.48,95,99,1.23,CA,1698703425
317,bicas,-21.7253,-43.0594,23.68,84,93,3.75,BR,1698703425
318,harper,4.375,-7.7169,24.78,92,84,1.45,LR,1698703426
319,bengkulu,-3.8004,102.2655,22.74,94,94,0.98,ID,1698703426
320,roccella ionica,38.322,16.4009,18.83,90,30,3.23,IT,1698703427
321,tobol,52.6844,62.5794,0.07,90,96,4.51,KZ,1698703427
322,genhe,50.7833,121.5167,-4.87,41,100,1.54,CN,1698703428
323,meadow lakes,61.6247,-149.6011,8.25,61,12,1.34,US,1698703429
324,al bahah,20.0129,41.4677,16.68,61,7,1.26,SA,1698703429
325,port saint john's,-31.6229,29.5448,13.91,86,91,3.51,ZA,1698703175
326,remire-montjoly,4.9167,-52.2667,29.02,79,20,4.12,GF,1698703431
327,dompu,-8.5356,118.4622,24.34,91,12,1.13,ID,1698703431
328,barabai,-2.5833,115.3833,24.13,86,46,0.73,ID,1698703432
329,inhambane,-23.865,35.3833,19.97,66,100,3.66,MZ,1698702892
330,sierra grande,-41.606,-65.3557,10.55,38,82,7.67,AR,1698703433
331,portland,45.5234,-122.6762,17.74,40,20,7.72,US,1698702960
332,worbis,51.4167,10.3667,12.67,95,100,1.05,DE,1698703434
333,vallenar,-28.5708,-70.7581,25.83,22,58,4.82,CL,1698703335
334,bago,17.3367,96.4797,23.56,94,100,2.45,MM,1698703435
335,maloye ganyushkino,46.6,49.2667,9.39,59,0,1.36,KZ,1698703436
336,junagarh,19.8667,82.9333,18.27,86,0,0.45,IN,1698703436
337,oranjemund,-28.55,16.4333,15.22,77,2,4.69,NA,1698703437
338,strezhevoy,60.7333,77.5889,-13.35,96,13,2.24,RU,1698703438
339,shanhecun,44.7,127.2,6.8,59,100,2.87,CN,1698703438
340,elizabethtown,37.694,-85.8591,7.09,89,100,3.09,US,1698703346
341,touros,-5.1989,-35.4608,26.35,77,17,9.62,BR,1698702877
342,malanje,-9.5402,16.341,18.35,96,99,1.49,AO,1698703440
343,hadibu,12.65,54.0333,25.97,77,99,4.18,YE,1698703441
344,kourou,5.1552,-52.6478,29.03,84,19,2.79,GF,1698703442
345,tobruk,32.0836,23.9764,21.38,76,31,1.78,LY,1698703444
346,bodaybo,57.8506,114.1933,-9.51,54,99,1.42,RU,1698703445
347,tommot,58.9564,126.2925,-24.83,100,61,0.59,RU,1698702889
348,coahuayana de hidalgo,18.7,-103.6583,29.63,71,31,2.36,MX,1698703446
349,burela de cabo,43.65,-7.4,14.54,76,63,9.59,ES,1698703447
350,faranah,10.0404,-10.7434,23.91,69,14,1.31,GN,1698703448
351,rio grande,-32.035,-52.0986,20.06,93,100,3.53,BR,1698703448
352,minas de marcona,-15.2119,-75.1103,17.2,72,52,7.73,PE,1698702761
353,pauri,30.15,78.7833,12.25,61,100,2.12,IN,1698703450
354,pisco,-13.7,-76.2167,23.03,64,65,10.29,PE,1698703450
355,tadepallegudem,16.8333,81.5,22.52,84,98,2.38,IN,1698703451
356,ono,34.85,134.9333,12.67,79,0,1.55,JP,1698703453
357,chifeng,42.2683,118.9636,7.66,72,59,3.39,CN,1698703454
358,lycksele,64.5954,18.6735,-8.07,93,100,2.57,SE,1698703454
359,mahibadhoo,3.7833,72.9667,27.31,76,22,3.22,MV,1698703455
360,le creusot,46.8071,4.4163,8.7,96,100,2.54,FR,1698703456
361,san luis de la loma,17.2706,-100.8939,28.82,88,34,1.7,MX,1698703457
